ID,Label,Part,Coef,col,abs_coef
Parvimonas.micra,Parvimonas.micra,Parvimonas.micra,0.3272620162541659,CRC,0.3272620162541659
Streptococcus.salivarius,Streptococcus.salivarius,Streptococcus.salivarius,-0.32691143381163007,Control,0.32691143381163007
Gemella.morbillorum,Gemella.morbillorum,Gemella.morbillorum,0.5503304935692179,CRC,0.5503304935692179
Roseburia.intestinalis,Roseburia.intestinalis,Roseburia.intestinalis,-0.16049292579385815,Control,0.16049292579385815
Eubacterium.eligens,Eubacterium.eligens,Eubacterium.eligens,-0.1593513230648086,Control,0.1593513230648086
Ruminococcus.bicirculans,Ruminococcus.bicirculans,Ruminococcus.bicirculans,-0.1122967624976974,Control,0.1122967624976974
Peptostreptococcus.stomatis,Peptostreptococcus.stomatis,Peptostreptococcus.stomatis,0.25614200163944084,CRC,0.25614200163944084
Dialister.pneumosintes,Dialister.pneumosintes,Dialister.pneumosintes,0.21711640455765951,CRC,0.21711640455765951
Asaccharobacter.celatus,Asaccharobacter.celatus,Asaccharobacter.celatus,-0.01265593672433216,Control,0.01265593672433216
Eubacterium.sp.CAG.38,Eubacterium.sp.CAG.38,Eubacterium.sp.CAG.38,-0.11250033874509342,Control,0.11250033874509342
Adlercreutzia.equolifaciens,Adlercreutzia.equolifaciens,Adlercreutzia.equolifaciens,-0.046593598001321394,Control,0.046593598001321394
Roseburia.faecis,Roseburia.faecis,Roseburia.faecis,-0.0956483019201747,Control,0.0956483019201747
Eubacterium.ventriosum,Eubacterium.ventriosum,Eubacterium.ventriosum,-0.032396319921203724,Control,0.032396319921203724
Faecalibacterium.prausnitzii,Faecalibacterium.prausnitzii,Faecalibacterium.prausnitzii,-0.17526762248240538,Control,0.17526762248240538
Romboutsia.ilealis,Romboutsia.ilealis,Romboutsia.ilealis,-0.17860150752746057,Control,0.17860150752746057
Fusobacterium.nucleatum,Fusobacterium.nucleatum,Fusobacterium.nucleatum,0.37919981585970064,CRC,0.37919981585970064
Gordonibacter.pamelaeae,Gordonibacter.pamelaeae,Gordonibacter.pamelaeae,-0.0224397080971473,Control,0.0224397080971473
Solobacterium.moorei,Solobacterium.moorei,Solobacterium.moorei,0.240482668288903,CRC,0.240482668288903
Haemophilus.parainfluenzae,Haemophilus.parainfluenzae,Haemophilus.parainfluenzae,-0.09914961910588468,Control,0.09914961910588468
Massiliomicrobiota.timonensis,Massiliomicrobiota.timonensis,Massiliomicrobiota.timonensis,-0.2271956533589164,Control,0.2271956533589164
Blautia.producta,Blautia.producta,Blautia.producta,-0.19975172527403579,Control,0.19975172527403579
Agathobaculum.butyriciproducens,Agathobaculum.butyriciproducens,Agathobaculum.butyriciproducens,0.05934495408072175,CRC,0.05934495408072175
Fusicatenibacter.saccharivorans,Fusicatenibacter.saccharivorans,Fusicatenibacter.saccharivorans,-0.008890681978306223,Control,0.008890681978306223
Eubacterium.hallii,Eubacterium.hallii,Eubacterium.hallii,0.039298596457975385,CRC,0.039298596457975385
Rothia.dentocariosa,Rothia.dentocariosa,Rothia.dentocariosa,-0.18718406569257856,Control,0.18718406569257856
Blautia.wexlerae,Blautia.wexlerae,Blautia.wexlerae,0.0011224335977898967,CRC,0.0011224335977898967
Roseburia.sp.CAG.309,Roseburia.sp.CAG.309,Roseburia.sp.CAG.309,-0.20817646710360702,Control,0.20817646710360702
Anaerostipes.hadrus,Anaerostipes.hadrus,Anaerostipes.hadrus,-0.0583497066799622,Control,0.0583497066799622
Clostridium.sp.CAG.167,Clostridium.sp.CAG.167,Clostridium.sp.CAG.167,-0.10250730459672662,Control,0.10250730459672662
Streptococcus.sp.A12,Streptococcus.sp.A12,Streptococcus.sp.A12,-0.11074999890522774,Control,0.11074999890522774
Actinomyces.oris,Actinomyces.oris,Actinomyces.oris,-0.11827317792284567,Control,0.11827317792284567
Blautia.coccoides,Blautia.coccoides,Blautia.coccoides,-0.13785792184003806,Control,0.13785792184003806
Streptococcus.australis,Streptococcus.australis,Streptococcus.australis,-0.10698195354965825,Control,0.10698195354965825
Streptococcus.sanguinis,Streptococcus.sanguinis,Streptococcus.sanguinis,-0.06872578277466898,Control,0.06872578277466898
Enterorhabdus.caecimuris,Enterorhabdus.caecimuris,Enterorhabdus.caecimuris,-0.022968566932499726,Control,0.022968566932499726
Gemmiger.formicilis,Gemmiger.formicilis,Gemmiger.formicilis,-0.045217524201522426,Control,0.045217524201522426
Bifidobacterium.dentium,Bifidobacterium.dentium,Bifidobacterium.dentium,-0.013354205899268431,Control,0.013354205899268431
Intestinibacter.bartlettii,Intestinibacter.bartlettii,Intestinibacter.bartlettii,0.032148994768644086,CRC,0.032148994768644086
Actinomyces.sp.ICM47,Actinomyces.sp.ICM47,Actinomyces.sp.ICM47,-0.06606248813052396,Control,0.06606248813052396
Turicibacter.sanguinis,Turicibacter.sanguinis,Turicibacter.sanguinis,-0.01784861637908484,Control,0.01784861637908484
Rothia.mucilaginosa,Rothia.mucilaginosa,Rothia.mucilaginosa,-0.06753235497718536,Control,0.06753235497718536
Clostridium.symbiosum,Clostridium.symbiosum,Clostridium.symbiosum,0.0690300408199258,CRC,0.0690300408199258
Actinomyces.sp.HPA0247,Actinomyces.sp.HPA0247,Actinomyces.sp.HPA0247,-0.019640446485566027,Control,0.019640446485566027
Lactococcus.lactis,Lactococcus.lactis,Lactococcus.lactis,0.006416453111671709,CRC,0.006416453111671709
Bifidobacterium.longum,Bifidobacterium.longum,Bifidobacterium.longum,-0.02287804095280211,Control,0.02287804095280211
Streptococcus.mutans,Streptococcus.mutans,Streptococcus.mutans,-0.010258174049617276,Control,0.010258174049617276
Dorea.sp.CAG.317,Dorea.sp.CAG.317,Dorea.sp.CAG.317,-0.12183709151825176,Control,0.12183709151825176
Turicimonas.muris,Turicimonas.muris,Turicimonas.muris,-0.029827076828438045,Control,0.029827076828438045
Fretibacterium.fastidiosum,Fretibacterium.fastidiosum,Fretibacterium.fastidiosum,-0.06682358112235845,Control,0.06682358112235845
