Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims,permuteLabel,shift_parm
Permuted,16S_meanShift3,1,1,CLR-LASSO,0.5,0,0,1.2559999999999967,124,TRUE,3
Permuted,16S_meanShift3,1,1,Coda-LASSO,0.5828,2,1,92.081,124,TRUE,3
Permuted,16S_meanShift3,1,2,DCV-ridgeRegression,0.9056,47,233,NA,124,TRUE,3
Permuted,16S_meanShift3,1,2,DCV-ridgeEnsemble,0.9291999999999999,47,233,NA,124,TRUE,3
Permuted,16S_meanShift3,1,2,DCV-rfRFE,0.9164,38,142,NA,124,TRUE,3
Permuted,16S_meanShift3,1,2,CLR-LASSO,0.4932,11,11,0.5520000000000209,124,TRUE,3
Permuted,16S_meanShift3,1,2,Coda-LASSO,0.5172,2,1,57.110000000000014,124,TRUE,3
Permuted,16S_meanShift3,1,2,DCV-ridgeRegression,0.9852,93,802,NA,124,TRUE,3
Permuted,16S_meanShift3,1,2,DCV-ridgeEnsemble,0.9863999999999999,93,802,NA,124,TRUE,3
Permuted,16S_meanShift3,1,2,DCV-rfRFE,0.9803999999999999,66,303,NA,124,TRUE,3
Permuted,16S_meanShift3,2,1,CLR-LASSO,0.5,0,0,0.6520000000000437,124,TRUE,3
Permuted,16S_meanShift3,2,1,Coda-LASSO,0.5784,2,1,54.76099999999997,124,TRUE,3
Permuted,16S_meanShift3,2,2,DCV-ridgeRegression,0.9536,93,849,NA,124,TRUE,3
Permuted,16S_meanShift3,2,2,DCV-ridgeEnsemble,0.9723999999999999,93,849,NA,124,TRUE,3
Permuted,16S_meanShift3,2,2,DCV-rfRFE,0.9524,71,321,NA,124,TRUE,3
Permuted,16S_meanShift3,2,2,CLR-LASSO,0.5508,1,1,1.2220000000002074,124,TRUE,3
Permuted,16S_meanShift3,2,2,Coda-LASSO,0.5344,2,1,81.18899999999985,124,TRUE,3
Permuted,16S_meanShift3,2,2,DCV-ridgeRegression,0.9703999999999999,93,728,NA,124,TRUE,3
Permuted,16S_meanShift3,2,2,DCV-ridgeEnsemble,0.9772,93,728,NA,124,TRUE,3
Permuted,16S_meanShift3,2,2,DCV-rfRFE,0.9668,65,331,NA,124,TRUE,3
Permuted,16S_meanShift3,3,1,CLR-LASSO,0.5,0,0,0.8110000000001492,124,TRUE,3
Permuted,16S_meanShift3,3,1,Coda-LASSO,0.5304,2,1,80.63299999999981,124,TRUE,3
Permuted,16S_meanShift3,3,2,DCV-ridgeRegression,0.9872,93,688,NA,124,TRUE,3
Permuted,16S_meanShift3,3,2,DCV-ridgeEnsemble,0.9888,93,688,NA,124,TRUE,3
Permuted,16S_meanShift3,3,2,DCV-rfRFE,0.9836,87,474,NA,124,TRUE,3
Permuted,16S_meanShift3,3,2,CLR-LASSO,0.5,0,0,0.8640000000000327,124,TRUE,3
Permuted,16S_meanShift3,3,2,Coda-LASSO,0.5228,2,1,82.61000000000013,124,TRUE,3
Permuted,16S_meanShift3,3,2,DCV-ridgeRegression,0.9664,93,788,NA,124,TRUE,3
Permuted,16S_meanShift3,3,2,DCV-ridgeEnsemble,0.9748,93,788,NA,124,TRUE,3
Permuted,16S_meanShift3,3,2,DCV-rfRFE,0.972,91,604,NA,124,TRUE,3
Permuted,16S_meanShift3,4,1,CLR-LASSO,0.5,0,0,1.381999999999607,124,TRUE,3
Permuted,16S_meanShift3,4,1,Coda-LASSO,0.514,2,1,84.46399999999994,124,TRUE,3
Permuted,16S_meanShift3,4,2,DCV-ridgeRegression,0.9404,47,318,NA,124,TRUE,3
Permuted,16S_meanShift3,4,2,DCV-ridgeEnsemble,0.9364,47,318,NA,124,TRUE,3
Permuted,16S_meanShift3,4,2,DCV-rfRFE,0.9311999999999999,39,120,NA,124,TRUE,3
Permuted,16S_meanShift3,4,2,CLR-LASSO,0.524,3,3,0.9059999999999491,124,TRUE,3
Permuted,16S_meanShift3,4,2,Coda-LASSO,0.53,2,1,91.89800000000014,124,TRUE,3
Permuted,16S_meanShift3,4,2,DCV-ridgeRegression,0.992,93,922,NA,124,TRUE,3
Permuted,16S_meanShift3,4,2,DCV-ridgeEnsemble,0.9936,93,922,NA,124,TRUE,3
Permuted,16S_meanShift3,4,2,DCV-rfRFE,0.9932,91,564,NA,124,TRUE,3
Permuted,16S_meanShift3,5,1,CLR-LASSO,0.5176,6,6,0.9009999999998399,124,TRUE,3
Permuted,16S_meanShift3,5,1,Coda-LASSO,0.5224,2,1,57.39599999999973,124,TRUE,3
Permuted,16S_meanShift3,5,2,DCV-ridgeRegression,0.996,93,816,NA,124,TRUE,3
Permuted,16S_meanShift3,5,2,DCV-ridgeEnsemble,0.9948,93,816,NA,124,TRUE,3
Permuted,16S_meanShift3,5,2,DCV-rfRFE,0.9936,63,245,NA,124,TRUE,3
Permuted,16S_meanShift3,5,2,CLR-LASSO,0.5068,7,7,0.8100000000004002,124,TRUE,3
Permuted,16S_meanShift3,5,2,Coda-LASSO,0.5068,2,1,74.47499999999945,124,TRUE,3
Permuted,16S_meanShift3,5,2,DCV-ridgeRegression,0.9504,70,551,NA,124,TRUE,3
Permuted,16S_meanShift3,5,2,DCV-ridgeEnsemble,0.9676,70,551,NA,124,TRUE,3
Permuted,16S_meanShift3,5,2,DCV-rfRFE,0.9632,69,508,NA,124,TRUE,3
