Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims
Empirical,cmg_ZhuF-2020_schizo,1,1,CLR-LASSO,0.7073170731707317,25,25,21.928,176
Empirical,cmg_ZhuF-2020_schizo,1,1,Coda-LASSO,0.71869918699187,64,1,41.867,176
Empirical,cmg_ZhuF-2020_schizo,1,2,DCV-ridgeRegression,0.7100271002710027,34,153,NA,176
Empirical,cmg_ZhuF-2020_schizo,1,2,DCV-ridgeEnsemble,0.7273712737127371,34,153,NA,176
Empirical,cmg_ZhuF-2020_schizo,1,2,DCV-rfRFE,0.7268292682926829,33,94,NA,176
Empirical,cmg_ZhuF-2020_schizo,1,2,CLR-LASSO,0.6461111111111111,12,12,0.46499999999991815,192
Empirical,cmg_ZhuF-2020_schizo,1,2,Coda-LASSO,0.7144444444444445,135,1,49.47000000000003,192
Empirical,cmg_ZhuF-2020_schizo,1,2,DCV-ridgeRegression,0.7505555555555555,37,158,NA,192
Empirical,cmg_ZhuF-2020_schizo,1,2,DCV-ridgeEnsemble,0.7594444444444445,37,158,NA,192
Empirical,cmg_ZhuF-2020_schizo,1,2,DCV-rfRFE,0.7333333333333333,31,59,NA,192
Empirical,cmg_ZhuF-2020_schizo,2,1,CLR-LASSO,0.7821138211382114,13,13,0.4570000000003347,186
Empirical,cmg_ZhuF-2020_schizo,2,1,Coda-LASSO,0.8140921409214092,47,1,47.61200000000008,186
Empirical,cmg_ZhuF-2020_schizo,2,2,DCV-ridgeRegression,0.8498644986449865,140,711,NA,186
Empirical,cmg_ZhuF-2020_schizo,2,2,DCV-ridgeEnsemble,0.8590785907859079,140,711,NA,186
Empirical,cmg_ZhuF-2020_schizo,2,2,DCV-rfRFE,0.8520325203252033,98,213,NA,186
Empirical,cmg_ZhuF-2020_schizo,2,2,CLR-LASSO,0.7194444444444444,18,18,0.4600000000000364,189
Empirical,cmg_ZhuF-2020_schizo,2,2,Coda-LASSO,0.7169444444444445,88,1,36.5920000000001,189
Empirical,cmg_ZhuF-2020_schizo,2,2,DCV-ridgeRegression,0.7438888888888889,72,307,NA,189
Empirical,cmg_ZhuF-2020_schizo,2,2,DCV-ridgeEnsemble,0.7527777777777778,72,307,NA,189
Empirical,cmg_ZhuF-2020_schizo,2,2,DCV-rfRFE,0.7444444444444445,70,235,NA,189
Empirical,cmg_ZhuF-2020_schizo,3,1,CLR-LASSO,0.7604336043360433,26,26,0.4679999999998472,184
Empirical,cmg_ZhuF-2020_schizo,3,1,Coda-LASSO,0.7913279132791328,54,1,37.23000000000047,184
Empirical,cmg_ZhuF-2020_schizo,3,2,DCV-ridgeRegression,0.7929539295392953,104,716,NA,184
Empirical,cmg_ZhuF-2020_schizo,3,2,DCV-ridgeEnsemble,0.8281842818428184,104,716,NA,184
Empirical,cmg_ZhuF-2020_schizo,3,2,DCV-rfRFE,0.8059620596205962,102,382,NA,184
